iter	RMSE
0	2.806176363
1	2.648388129
2	2.514422726
3	2.422207958
4	2.339987734
5	2.276327929
6	2.227864873
7	2.181637095
8	2.161021458
9	2.127776392
10	2.103256273
11	2.08547944
12	2.064318461
13	2.051776224
14	2.038345422
15	2.016282089
16	2.003355413
17	1.995302166
18	1.982529909
19	1.969592178
20	1.959958033
21	1.952032745
22	1.946321582
23	1.935131884
24	1.924081988
25	1.920364704
26	1.895337484
27	1.884852333
28	1.870910997
29	1.86745334
30	1.862378745
31	1.856114569
32	1.849062645
33	1.840117213
34	1.823863288
35	1.798856255
36	1.783855845
37	1.780211463
38	1.774339464
39	1.766298213
40	1.757596143
41	1.752988853
42	1.749786519
43	1.737783461
44	1.735336447
45	1.725290541
46	1.715284611
47	1.709301366
48	1.705718606
49	1.704341888
50	1.694021364
51	1.675530079
52	1.666632426
53	1.65692711
54	1.643387833
55	1.640854792
56	1.631310023
57	1.62703219
58	1.620170143
59	1.615157663
60	1.603833504
61	1.594746353
62	1.585221937
63	1.579064979
64	1.572164528
65	1.564180039
66	1.562079227
67	1.559823341
68	1.549943374
69	1.546284185
70	1.538121913
71	1.533266745
72	1.532051678
73	1.521017814
74	1.512733193
75	1.50856476
76	1.502611766
77	1.497547398
78	1.490210585
79	1.486541748
80	1.485906552
81	1.479699918
82	1.476193114
83	1.475261915
84	1.471182473
85	1.466885454
86	1.464255172
87	1.449116919
88	1.438841652
89	1.432731339
90	1.420877352
91	1.419055099
92	1.409155675
93	1.408284033
94	1.406755687
95	1.399741085
96	1.390214675
97	1.383953634
98	1.372454407
99	1.367527366
