iter	Passed	Remaining
0	58	5748
1	60	2965
2	62	2033
3	65	1574
4	67	1284
5	69	1091
6	72	960
7	74	854
8	76	771
9	82	743
10	84	685
11	87	638
12	89	596
13	91	562
14	93	531
15	95	502
16	98	479
17	100	458
18	103	441
19	106	427
20	109	413
21	111	396
22	114	382
23	116	368
24	119	357
25	121	345
26	123	334
27	126	324
28	129	316
29	131	306
30	133	297
31	135	288
32	137	279
33	139	271
34	141	263
35	143	255
36	146	248
37	148	241
38	150	234
39	152	228
40	155	223
41	157	217
42	159	211
43	161	206
44	163	200
45	166	194
46	168	189
47	170	184
48	172	179
49	174	174
50	176	169
51	178	165
52	181	160
53	183	156
54	187	153
55	192	151
56	196	148
57	201	145
58	205	142
59	209	139
60	214	137
61	220	135
62	227	133
63	231	130
64	235	127
65	240	123
66	244	120
67	247	116
68	251	112
69	255	109
70	259	105
71	264	102
72	267	98
73	269	94
74	272	90
75	274	86
76	277	82
77	282	79
78	284	75
79	287	71
80	288	67
81	291	63
82	293	60
83	295	56
84	297	52
85	299	48
86	302	45
87	305	41
88	307	38
89	310	34
90	312	30
91	314	27
92	316	23
93	319	20
94	322	16
95	325	13
96	328	10
97	332	6
98	334	3
99	336	0
