has_collection,budget_processed,log_budget,genres_reform,num_genres,genre_rank,log_num_genres,log_genre_rank,has_homepage,in_english,production_companies_reform,topStudio,log_num_studios,log_numTopStudios,log_overview_len,log_day_of_week,log_year,log_month,log_season,has_poster_path,eng,num_production_countries,usa_produced,topLeadDirector,numTopDirectors,topLeadExecProd,numTopExecProd,topLeadProducer,numTopProducers,topLeadComposer,numTopComposers,topLeadDirectorPhoto,numTopDirectorsPhoto,topLeadEditor,numTopEditors,log_num_crew,log_num_male_crew,log_num_female_crew,runtime_processed,log_runtime,log_title_len,log_num_cast,topLeadActor,log_numTopActors,log_revenue
Belongs in Collection,14000000,16.454567959008102,['Comedy'],1,9,0.6931471805599453,2.302585092994046,0,1,"['Paramount Pictures', 'United Artists', 'Metro-Goldwyn-Mayer (MGM)']",1,1.3862943611198906,0.6931471805599453,5.049856007249537,1.791759469228055,7.60887062919126,1.0986122886681098,1.0986122886681098,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.290459441148391,2.6390573296152584,2.6390573296152584,93.0,4.543294782270004,3.1354942159291497,3.2188758248682006,0,0.0,16.326300330915824
Belongs in Collection,40000000,17.50439003707821,"['Comedy', 'Drama', 'Family', 'Romance']",4,9,1.6094379124341003,2.302585092994046,0,1,['Walt Disney Pictures'],1,0.6931471805599453,0.6931471805599453,5.976350909297934,1.791759469228055,7.60339933974067,2.1972245773362196,0.0,1,English is Spoken Language,1,1,1,1,0,0,0,0,0,1,0,0,0,0,2.302585092994046,1.6094379124341003,1.6094379124341003,113.0,4.736198448394496,3.713572066704308,3.044522437723423,0,0.6931471805599453,18.370959224205944
Not in Collection,3300000,15.009433329466965,['Drama'],1,4,0.6931471805599453,1.6094379124341003,1,1,"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",0,1.3862943611198906,0.0,4.875197323201151,1.791759469228055,7.608374474380783,2.3978952727983707,1.0986122886681098,1,English is Spoken Language,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4.174387269895637,2.4849066497880004,2.4849066497880004,105.0,4.663439094112067,2.1972245773362196,3.9318256327243257,0,0.0,16.38751199098573
Not in Collection,1200000,13.997832948091215,"['Thriller', 'Drama']",2,12,1.0986122886681098,2.5649493574615367,1,0,[],0,0.0,0.0,6.366470447731438,1.791759469228055,7.607381425639791,1.3862943611198906,1.3862943611198906,1,English is Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,0.0,0.0,122.0,4.812184355372417,2.0794415416798357,2.0794415416798357,0,0.0,16.588099342704055
Not in Collection,16000000,0.0,"['Action', 'Thriller']",2,15,1.0986122886681098,2.772588722239781,0,0,[],0,0.0,0.0,5.1298987149230735,1.6094379124341003,7.605890001053122,1.0986122886681098,1.0986122886681098,1,English is Not Spoken Language,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0.0,0.0,118.0,4.77912349311153,2.3978952727983707,1.6094379124341003,0,0.0,15.18261470922214
Not in Collection,8000000,15.894952224644102,"['Animation', 'Adventure', 'Family']",3,16,1.3862943611198906,2.833213344056216,0,1,[],0,0.0,0.0,5.017279836814924,1.6094379124341003,7.59488438721652,2.1972245773362196,0.0,1,English is Spoken Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,1.6094379124341003,1.6094379124341003,83.0,4.430816798843313,3.6635616461296463,1.6094379124341003,0,0.6931471805599453,14.997740387737252
Not in Collection,14000000,16.454567959008102,"['Horror', 'Thriller']",2,10,1.0986122886681098,2.3978952727983707,1,1,"['Ghost House Pictures', 'North Box Productions']",0,1.0986122886681098,0.0,5.342334251964811,1.6094379124341003,7.607381425639791,2.1972245773362196,0.0,1,English is Spoken Language,2,1,0,0,0,2,0,1,0,0,0,0,0,0,4.356708826689592,2.4849066497880004,2.4849066497880004,92.0,4.532599493153256,2.70805020110221,2.70805020110221,0,0.0,18.263396044879872
Not in Collection,16000000,0.0,['Documentary'],1,1,0.6931471805599453,0.6931471805599453,0,1,[],0,0.0,0.0,6.218600119691729,1.6094379124341003,7.60339933974067,0.6931471805599453,0.6931471805599453,1,English is Spoken Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.0,0.0,84.0,4.442651256490317,2.5649493574615367,1.6094379124341003,0,0.0,14.765820807889137
Belongs in Collection,16000000,0.0,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",5,15,1.791759469228055,2.772588722239781,0,1,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",1,1.3862943611198906,0.6931471805599453,5.986452005284438,1.791759469228055,7.599401333415815,1.0986122886681098,1.0986122886681098,1,English is Spoken Language,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2.1972245773362196,2.0794415416798357,2.0794415416798357,100.0,4.61512051684126,3.1354942159291497,2.5649493574615367,0,0.0,17.351454194007484
Not in Collection,6000000,15.607270193858982,"['Comedy', 'Music']",2,9,1.0986122886681098,2.302585092994046,0,1,['Castle Rock Entertainment'],0,0.6931471805599453,0.0,5.638354669333745,1.3862943611198906,7.602900462204755,1.6094379124341003,0.0,1,English is Spoken Language,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,1.6094379124341003,1.6094379124341003,91.0,4.5217885770490405,2.6390573296152584,2.995732273553991,0,0.6931471805599453,16.74671748362726
